Price,Cluster
8335,1
2909,2
8683,1
6906,0
6574,0
8505,1
5523,0
8478,1
4054,2
5338,0
9183,1
3179,2
6757,0
8753,1
8982,1
4812,0
4598,0
2514,2
6181,0
3744,2
2563,2
7593,1
8783,1
6430,0
9178,1
4490,2
3926,2
2534,2
6768,0
8087,1
7441,1
9958,1
4901,0
8303,1
5189,0
7920,1
7847,1
8782,1
7173,1
4935,0
8786,1
3150,2
8157,1
9701,1
4980,0
3128,2
3662,2
2623,2
7526,1
6340,0
6545,0
6389,0
4140,2
4349,2
6041,0
4517,2
9390,1
8340,1
7168,0
7208,1
6165,0
3758,2
9750,1
2500,2
9277,1
3995,2
2747,2
7348,1
2776,2
8323,1
6406,0
3819,2
7029,0
7500,1
9395,1
8764,1
6850,0
7756,1
4295,2
7854,1
3967,2
9391,1
4926,0
4010,2
2313,2
7947,1
4397,2
8414,1
3249,2
5648,0
6246,0
5787,0
8497,1
8138,1
9049,1
4392,2
2385,2
8880,1
5529,0
2938,2
8164,1
2964,2
3645,2
6915,0
6989,0
9820,1
9331,1
8454,1
8764,1
5510,0
4034,2
5455,0
7122,0
4956,0
6855,0
2325,2
5853,0
8669,1
2603,2
7224,1
5128,0
9055,1
8062,1
3426,2
9424,1
6011,0
8761,1
7394,1
2448,2
3813,2
8735,1
7514,1
8030,1
2051,2
8319,1
3650,2
6217,0
6465,0
4413,2
3675,2
2253,2
4380,2
5239,0
6179,0
5158,0
4208,2
7268,1
4245,2
4172,2
4795,0
4805,0
3565,2
7927,1
7006,0
3653,2
4170,2
7927,1
7826,1
3357,2
6834,0
5262,0
5038,0
6623,0
8035,1
6340,0
5860,0
5156,0
4805,0
8245,1
9082,1
5042,0
2585,2
6057,0
5719,0
7601,1
5252,0
3086,2
6408,0
5535,0
7966,1
8798,1
2094,2
8216,1
7104,0
5734,0
7403,1
7481,1
5521,0
2589,2
5253,0
3791,2
7988,1
4676,0
3576,2
6473,0
7770,1
8499,1
9669,1
5012,0
7352,1
2591,2
9309,1
3569,2
7914,1
9346,1
9534,1
9797,1
3484,2
4013,2
4553,0
9915,1
7335,1
9840,1
2641,2
3109,2
9663,1
6207,0
5344,0
7525,1
3140,2
8485,1
8946,1
9013,1
4076,2
2254,2
8600,1
2129,2
3129,2
5233,0
9551,1
3710,2
3958,2
4752,0
2308,2
9293,1
7144,0
8498,1
3511,2
9303,1
8942,1
2620,2
9588,1
7231,1
6285,0
7392,1
5323,0
3727,2
5805,0
8481,1
9779,1
8126,1
4660,0
4358,2
5058,0
5278,0
5165,0
9066,1
9807,1
4319,2
2630,2
7076,0
6822,0
3415,2
3241,2
7860,1
6457,0
9723,1
9903,1
2973,2
2544,2
4156,2
3020,2
4283,2
3469,2
7605,1
4513,2
5681,0
4222,2
7394,1
5832,0
2726,2
7709,1
2587,2
5742,0
5589,0
9357,1
7061,0
4382,2
2562,2
4775,0
6079,0
5766,0
8528,1
4396,2
6818,0
4786,0
9661,1
6761,0
8829,1
8894,1
3364,2
3738,2
6839,0
5579,0
9909,1
3002,2
6610,0
6854,0
3279,2
9967,1
5964,0
5098,0
8103,1
2891,2
6824,0
8367,1
7420,1
3342,2
4935,0
2510,2
4458,2
4825,0
6600,0
7113,0
9073,1
8409,1
7716,1
9063,1
3231,2
6649,0
8609,1
3070,2
2480,2
3254,2
3739,2
9132,1
3751,2
4259,2
8668,1
5910,0
9489,1
8029,1
5921,0
9488,1
8887,1
7896,1
6099,0
2190,2
7804,1
4998,0
9981,1
3315,2
8597,1
7902,1
7973,1
6545,0
9614,1
7262,1
4938,0
9913,1
6773,0
7736,1
2781,2
9961,1
5731,0
4737,0
4759,0
9508,1
4395,2
3104,2
5873,0
6671,0
8059,1
2037,2
9524,1
7404,1
3548,2
4741,0
9908,1
7958,1
3303,2
3155,2
5326,0
7532,1
5232,0
3484,2
4666,0
8973,1
7757,1
2717,2
7560,1
8495,1
9196,1
2209,2
9798,1
8108,1
7854,1
5333,0
4745,0
8234,1
2816,2
7604,1
4419,2
8655,1
4282,2
6906,0
6049,0
2431,2
7956,1
2543,2
7093,0
6371,0
9051,1
6621,0
8492,1
5783,0
7239,1
3951,2
8722,1
9934,1
2664,2
5171,0
8701,1
9913,1
2925,2
3629,2
5512,0
9670,1
6687,0
9488,1
8890,1
4676,0
4829,0
3289,2
5485,0
6639,0
7954,1
5542,0
2203,2
2865,2
6097,0
5979,0
3377,2
8836,1
9273,1
4716,0
3345,2
2724,2
4764,0
7966,1
7870,1
9443,1
7577,1
6193,0
6260,0
3581,2
2686,2
5637,0
2654,2
9535,1
2280,2
2149,2
2589,2
3284,2
9293,1
8057,1
3740,2
6371,0
5646,0
2311,2
9853,1
6757,0
7794,1
6345,0
6376,0
4786,0
3224,2
9472,1
3106,2
5336,0
5464,0
8622,1
7573,1
6602,0
8464,1
3155,2
9855,1
8106,1
6569,0
8266,1
3774,2
9328,1
4645,0
2789,2
9205,1
4462,2
2275,2
9578,1
2685,2
9843,1
3275,2
7623,1
9994,1
5112,0
6465,0
7837,1
4367,2
5327,0
5764,0
2671,2
7943,1
2771,2
6239,0
5457,0
8207,1
7256,1
8524,1
5642,0
7133,0
7554,1
5389,0
2590,2
6581,0
7253,1
4836,0
5010,0
8990,1
8665,1
4902,0
2174,2
2962,2
6301,0
4192,2
3531,2
8741,1
2806,2
6899,0
4519,2
4969,0
2229,2
8007,1
9905,1
4262,2
6240,0
2577,2
7623,1
6783,0
5325,0
5336,0
7925,1
4621,0
3273,2
5760,0
8688,1
3753,2
8623,1
3325,2
5376,0
2465,2
8497,1
3562,2
9216,1
3944,2
